t_total, t_motor, t_cam_1, t_cam2, time_motor,motor_x,motor_y,time_cam,cam_x,cam_y
0.853510989,0.778783345,0.063236524,0.010586336,1751290071549084310,10000,12000,1751290071612286779,82,114
1.453978254,1.26101758,0.184141091,0.006529855,1751290072888047008,4000,6000,1751290073072179544,135,60
1.12938162,1.114885744,0.004291701,0.00978907,1751290074194400781,10000,4000,1751290074198687945,84,42
1.247829628,1.100961268,0.135331944,0.009885365,1751290075312712626,14000,4000,1751290075448041682,44,42
1.992755711,1.976983371,0.004279757,0.010800444,1751290077446510796,12000,14000,1751290077450788349,65,129
2.078329261,2.062269814,0.004378866,0.010298359,1751290079527154822,8000,4000,1751290079531529873,99,45
1.471649043,1.326790989,0.134627176,0.008792472,1751290080871064317,14000,10000,1751290081005690512,46,96
0.808818467,0.645799846,0.154688161,0.007911706,1751290081661226317,14000,8000,1751290081815912218,46,78
2.885283396,2.700790662,0.174358836,0.007317807,1751290084528232334,2000,20000,1751290084702595836,151,179
1.329860093,1.196344531,0.124099283,0.008857268,1751290085908563494,6000,20000,1751290086032684425,117,180
1.982514452,1.966824668,0.004262516,0.010905128,1751290088009817359,8000,10000,1751290088014077189,99,98
1.120355384,1.104529157,0.004246812,0.009276539,1751290089132278029,14000,12000,1751290089136520915,48,114
1.789141894,1.774910608,0.004196035,0.009384279,1751290090921892861,8000,20000,1751290090926085526,100,178
0.694206569,0.480361756,0.198347896,0.014767575,1751290091417498686,6000,18000,1751290091615893878,117,163
2.468036929,2.449484776,0.004191998,0.010897277,1751290094083968158,10000,6000,1751290094088152953,81,63
1.310963493,1.13676312,0.160238213,0.012349183,1751290095238845882,10000,2000,1751290095399125872,81,23
1.010545051,0.813084218,0.189073596,0.007843634,1751290096225802441,6000,6000,1751290096414874593,117,60
1.01881827,0.837228924,0.170298464,0.010501893,1751290097262103139,2000,10000,1751290097432451195,152,94
1.490596605,1.47671637,0.004160295,0.009040728,1751290098921089605,10000,8000,1751290098925245474,84,78
1.307309022,1.291401703,0.004475439,0.010656354,1751290100227446288,14000,2000,1751290100231917746,44,25
0.705331673,0.482349319,0.19793503,0.02370912,1751290100727283387,12000,4000,1751290100925260991,63,42
3.783215053,3.766790538,0.004053426,0.011466454,1751290104716964002,6000,22000,1751290104721005502,117,195
